,Film,Year,Award,Nomination
0,Everything Everywhere All at Once,2022,7,11
1,All Quiet on the Western Front,2022,4,9
2,The Whale,2022,2,3
3,Top Gun: Maverick,2022,1,6
4,Black Panther: Wakanda Forever,2022,1,5
5,Avatar: The Way of Water,2022,1,4
6,Women Talking,2022,1,2
7,Guillermo del Toro's Pinocchio,2022,1,1
8,Navalny,2022,1,1
9,The Elephant Whisperers,2022,1,1
10,An Irish Goodbye,2022,1,1
11,"The Boy, the Mole, the Fox and the Horse",2022,1,1
12,RRR,2022,1,1
13,CODA,2021,3,3
14,Dune,2021,6,10
15,The Eyes of Tammy Faye,2021,2,2
16,No Time to Die,2021,1,3
17,The Windshield Wiper,2021,1,1
18,The Long Goodbye,2021,1,1
19,The Queen of Basketball,2021,1,1
20,Summer of Soul,2021,1,1
21,Drive My Car,2021,1,4
22,Encanto,2021,1,3
23,West Side Story,2021,1,7
24,Belfast,2021,1,7
25,The Power of the Dog,2021,1,12
26,King Richard,2021,1,6
27,Cruella,2021,1,2
28,Nomadland,21,3,6
29,The Father,21,2,6
30,Judas and the Black Messiah,21,2,6
31,Minari,21,1,6
32,Mank,21,2,10
33,Sound of Metal,21,2,6
34,Ma Rainey's Black Bottom,21,2,5
35,Promising Young Woman,21,1,5
36,Tenet,21,1,2
37,Soul,21,2,3
38,Another Round,21,1,2
39,My Octopus Teacher,21,1,1
40,Colette,21,1,1
41,If Anything Happens I Love You,21,1,1
42,Two Distant Strangers,21,1,1
43,Parasite,2019,4,6
44,Ford v Ferrari,2019,2,4
45,Learning to Skateboard in a Warzone (If You're a Girl),2019,1,1
46,The Neighbors' Window,2019,1,1
47,Little Women,2019,1,6
48,Marriage Story,2019,1,6
49,Jojo Rabbit,2019,1,6
50,Toy Story 4,2019,1,2
51,Joker,2019,2,11
52,Once Upon a Time in Hollywood,2019,2,10
53,1917,2019,3,10
54,Judy,2019,1,2
55,Bombshell,2019,1,3
56,Rocketman,2019,1,1
57,American Factory,2019,1,1
58,Hair Love,2019,1,1
59,Green Book,2018,3,5
60,Bohemian Rhapsody,2018,4,5
61,Roma,2018,3,10
62,Black Panther,2018,3,7
63,The Favourite,2018,1,10
64,A Star Is Born,2018,1,8
65,Vice,2018,1,8
66,BlacKkKlansman,2018,1,6
67,First Man,2018,1,4
68,If Beale Street Could Talk,2018,1,3
69,Bao,2018,1,1
70,Free Solo,2018,1,1
71,Period. End of Sentence.,2018,1,1
72,Skin,2018,1,1
73,Spider-Man: Into the Spider-Verse,2018,1,1
74,The Shape of Water,2017,4,13
75,Dunkirk,2017,3,8
76,"Three Billboards Outside Ebbing, Missouri",2017,2,7
77,Darkest Hour,2017,2,6
78,Blade Runner 2049,2017,2,5
79,Coco,2017,2,2
80,Phantom Thread,2017,1,6
81,Call Me by Your Name,2017,1,4
82,Get Out,2017,1,4
83,"I, Tonya",2017,1,3
84,Dear Basketball,2017,1,1
85,A Fantastic Woman,2017,1,1
86,Heaven Is a Traffic Jam on the 405,2017,1,1
87,Icarus,2017,1,1
88,The Silent Child,2017,1,1
89,Flesh and Sand,2017,1,0
90,Moonlight,2016,3,8
91,La La Land,2016,6,14
92,Hacksaw Ridge,2016,2,6
